"","X","b1_11","b1_12","b1_6","b1_8","b10_12","b10_13","b10_14","b11_10","b11_12","b11_13","b11_6","b11_8","b12_11","b12_12","b12_13","b12_8","b13_12","b13_13","b13_8","b14_11","b14_12","b14_8","b15_10","b15_11","b15_12","b15_9","b16_11","b16_12","b16_4","b16_6","b16_8","b17_10","b17_11","b17_6","b17_7","b17_8","b17_9","b18_11","b18_12","b18_7","b18_8","b18_9","b19_11","b19_12","b19_13","b19_6","b19_8","b2_11","b2_13","b2_14","b2_6","b2_8","b20_12","b20_8","b21_10","b21_11","b21_12","b21_7","b21_8","b22_12","b22_13","b22_14","b23_10","b23_11","b23_12","b23_8","b23_9","b3_10","b3_11","b3_12","b4_11","b4_13","b4_14","b5_11","b5_13","b5_9","b6_11","b6_12","b6_13","b6_14","b6_7","b7_10","b7_11","b7_5","b7_6","b7_7","b8_10","b8_12","b9_10","b9_11","b9_12","b9_13","b9_14","b9_8","fd","P_value","P_value_adjust"
"1345","P18827_SDC1",NA,1529340,NA,NA,NA,1198690,253636,NA,NA,620091,175054,NA,NA,NA,348517,488385,232063,878399,NA,252864,330471,NA,NA,610257,366257,NA,1544050,NA,400917,NA,NA,454702,NA,NA,NA,NA,472036,NA,1021390,NA,NA,NA,510802,1317950,NA,2755150,NA,NA,NA,362616,1000420,3395470,433600,377389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466818,NA,999014,NA,187405,1302290,NA,1961320,NA,NA,NA,192184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734056392462023,0.734970757992822,0.832482157949557
"1401","P20908_COL5A1",1571740,3976750,5815250,6522280,10291600,968190,4675920,NA,1539910,1442950,NA,4062620,359386,4791880,3554500,477268,4508230,674627,2109270,NA,NA,23637000,348134,2873540,741114,1889055,3159940,2484710,6677360,22425300,19946800,NA,1700320,2093920,1019890,3491650,4660760,708023,2412020,1046420,3061160,599273.5,649955,6099480,8543530,14946400,2115050,5952250,7411520,1947120,698209,NA,3314260,1863340,265717,73633,346294,11671600,1354790,NA,NA,NA,471449,707060,100799,6283280,978884,3899160,838958,1302920,1505180,3789870,1210810,8259440,276257,29314100,3136040,3541760,1754030,2160050,1735720,NA,844015,5607220,1625620,7479000,1142460,619042,740117,663413,8408930,5872360,2921870,3150150,1.19767482372545,0.00508803713006041,0.0230292622269401
"1479","P24043_LAMA2",NA,NA,615994,545180,1023610,178209,NA,NA,NA,NA,3665140,688842,NA,NA,369183,2255660,318889,161633,986435,126353,NA,674774,NA,NA,NA,NA,285959,677425,459193,841486,556954,NA,NA,NA,NA,841835,276447.5,376667,NA,448348,887165,358279.5,NA,464537,772873,80656.1,447604,5630770,NA,NA,NA,147208,NA,590937,NA,NA,NA,953739,967677,NA,NA,NA,NA,NA,NA,NA,407564.5,60247.6,NA,NA,402707,NA,NA,317071,596998,NA,245902,NA,NA,721900,288757,NA,NA,317743,718758,1379130,NA,NA,NA,NA,NA,617135,NA,702473,1.13475630586106,0.00188548868225672,0.0111183246930348
"1487","P24821_TNC",20843600,4670460,51240300,197202000,97896200,2687940,96381200,6875410,40038400,40828600,3512110,454281000,69634400,23185600,36542300,2514150,34442500,13772900,26469700,5153110,13192400,5804820,31367800,13741300,5779480,67244300,14467600,36936600,20690200,4283610,5087570,4116750,141095000,8702170,40003600,24515800,350664500,57180600,101746000,44925000,105949000,60556950,10144300,13665900,7843030,56015300,32054800,74873300,52188200,7200800,10446200,378761,39496300,45249600,26772000,13064200,24536000,1307120,83441300,29082900,9511140,2883640,10088300,17193200,42365900,19448000,28905900,335116000,5894980,47261900,30780100,148128000,20556200,75949200,10965300,495359500,51735400,18215600,20706900,31340100,6046000,2227150,35932100,78444700,128437000,56051000,9840350,21898400,11137900,61880300,71618600,22587100,8813990,64125600,1.07995783121671,0.0363514965463089,0.0998841484049214
"1693","P35442_THBS2",2207030,5217560,5396950,21038300,3618430,1845900,3680390,NA,2068330,5350970,NA,9235080,3893950,15823100,11597200,NA,3049350,1637710,NA,54198.6,18199.9,20584700,1529780,117481,1207500,11762450,2192070,162074,8058870,68253600,26101500,NA,3748520,437791,6886510,803303,9553880,85722.1,4617120,NA,NA,9189310,763327,5965350,2413260,112549000,NA,1206740,5442720,555173,NA,NA,4467730,3306640,368177,2025990,4903810,2912930,1808510,NA,89708.4,253765,1279370,552760,6368810,20002000,1988020,25097000,NA,1612970,NA,10135700,6714330,17686100,NA,184132500,16815200,24505200,2286140,3710160,922798,NA,4532670,12670200,1065770,226944,16454800,5976830,2948550,3491420,8159800,3286290,11507700,165644,2.00044452169894,0.0555228803304313,0.135880883916982
"1698","P35555_FBN1",2343040,5099030,86005100,220043000,62853900,12986100,2922720,533174,4362370,1410190,1754640,8480320,548812,1323670,5919360,3377500,13107200,8215400,61846700,321330,724830,26162700,5694320,5431020,996083,31151750,17494400,5408810,31899500,79976900,59801400,1162280,2897990,8106040,9392730,13333800,4989390,8485680,9362820,9200440,6457960,7332800,2827290,5378610,14008400,61889500,31519900,10247000,7419110,3031420,10447800,12627800,10763500,6102030,45186500,38749800,13904100,19271900,21822100,37629600,8363520,24301300,10795400,11606200,10661300,7560980,56959600,14142200,1635370,2110650,15152600,12181300,17893600,27593500,17927400,10900515,1192190,11513000,6872420,12097600,14714100,NA,1143460,80826600,4805060,113081000,250350,2447590,8613760,6971640,10005700,12594700,19871700,16136100,1.57979073947545,0.00256486759298317,0.0138069672383165
"1762","P39060_COL18A1",2060610,2382000,19958100,36788300,26021600,5242160,5010570,520592,7809760,3610790,3257220,9977990,539738,1067600,5024640,3446600,6002440,4864430,13222500,424205,1838950,18017500,4439450,3886500,1322170,4892695,7383940,17564300,9027930,23068200,11465000,848312,3791760,4676730,5934540,10753500,5831715,5219160,2918570,12551600,23948100,4322425,3974720,9348090,15376500,4295830,18938000,3796360,6269510,1664490,2664350,8886050,6238510,11690000,2538980,242557,143886,19679200,13058700,1213430,326057,400474,5073910,1700780,3999640,6071720,14130850,2458950,920190,3519140,31821200,16325000,8060590,3946400,10259700,8481640,3063630,4407370,6110840,4760850,7415600,272663,1236480,10478500,3639200,15892200,2517490,1230790,1398840,2065440,5005590,8760620,4159370,2624640,1.2005982739229,0.000131359402548871,0.00171701894571133
"2163","P55268_LAMB2",5812670,1144920,6248650,20898100,47780300,986100,293567,NA,8472310,3514210,NA,31022500,3347880,1315780,4465580,615176,602609,420477,20656700,265693,NA,10522500,2287170,1424620,NA,6888760,1889590,13599700,1899850,6115670,1601910,392426,6688390,448573,NA,4619080,12206450,22876800,8079320,28072500,36070800,4384155,259767,507679,6039700,481808,66278900,27971500,17074500,326418,NA,418551,569874,772013,31029700,552354,NA,20802000,12670600,6618620,NA,60102.8,1525120,NA,NA,1127560,15250700,15616000,532410,11597900,11416900,5626170,419602,179620,737066,978176.5,63484.7,653382,556402,17522200,627607,NA,795601,495651,11229200,40710700,86061.7,201386,542992,2684480,10002400,15233000,2776810,13965600,1.68931565544584,0.000878011357037772,0.0064473056187403
"2179","P56199_ITGA1",3199870,6460950,7195130,8730300,23425900,2538110,1498360,5942970,8560290,5284900,1539350,7338810,5437680,1687010,6004530,3024520,6743510,5555360,6811180,619093,1893690,4030740,3467250,3955430,1141200,6668875,7989450,8004660,4598140,8455520,10767900,2750520,3286030,2430130,5919110,4616310,8645890,9980600,7890450,11543800,8426860,4084850,2863710,3080220,6300710,2222660,14588700,19025900,9379240,4411980,3516190,3344380,4906890,2693850,5112900,2560790,253067,2516440,8723460,2236180,1407630,1203470,1911500,766895,3656610,741640,2828580,63451000,2804060,8759460,5396170,4464910,6924280,1791870,2010540,2484075,4177110,6719460,1910090,4209280,4882320,1197150,3872230,8221180,6700190,22625700,1151700,6623610,5638030,6507920,8266370,7229440,3373260,11770300,0.926341499818247,0.0161241459950558,0.0537100119070757
"2209","P60033_CD81",289925,NA,448004,125338,584696,706648,309593,NA,716923,78584.9,59425.7,98417,NA,486572,323575,NA,460390,351626,2494230,180553,1206270,1365180,1289570,1015690,77137.3,889504,720134,NA,908060,1060910,479332,NA,290466,228512,NA,NA,1045235.5,353737,440562,2160720,469246,NA,158558,275145,422473,214973,2484300,2114570,814509,597270,333570,NA,620782,NA,124971,NA,37001.1,306897,NA,428204,NA,134392,124930,76124.5,NA,120876,53821.1,200842,393614,280056,557177,471305,580052,NA,246081,494219.5,268056,806915,1041860,767263,750629,NA,97463.4,561546,2640180,1960650,NA,238355,818007,867055,822036,432925,556903,2804180,0.832764910391687,0.0573779499455556,0.139382617276488
